Activity Master: Activity Master Number,Zone,Activity Code,Activity Name,Activity Name (Arabic),Status,Minimum Share Capital,License Type,License Type (Arabic),Is Not Allowed for Coworking(ESR),RAKEZ HSE Risk Classification,Compliance Risk Rating,Is Special,Activity Price,Activity Group,Activity Group (Arabic),Segment Name English,Segment Name Arabic,Description,Description (Arabic),Qualification Requirement,Documents Required
AM-05813,Non-Freezone,9511004,(ATM’s)Repair and maintenance of computer terminals like automatic teller machines,صيانة وإصلاح المحطات الطرفية للحاسوب ( الصراف الألي ) ATM,Inactive,,Professional,مهنية,-,,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,
AM-03763,Non-Freezone,4789003,(audio and video) Retail sale via stalls Of recording,كشك بيع تسجيلات ( الصوتية والمرئية ),Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,Media Regulatory Office / Ministry of Culture & Youth
AM-01544,Non-Freezone,8220002,( Automatic call distribution (Senter Call,توزيع المكالمات اليآ ( سنتر كول ),Inactive,,Professional,مهنية,-,,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,,Telecommunication Regulatory Authority
AM-08613,Non-Freezone,8220002,( Automatic call distribution (Senter Call,خدمات مراكز الإتصال,Active,,Professional,مهنيــــــــــة,-,Low,,Standard,,Broadcasting and communication,البث والإتصالات,Broadcasting and communication,البث والإتصالات,,,,
AM-04319,Non-Freezone,1820001,(Cassettes ) Copying of Recordings and Audio Tape,استنساخ التسجيلات وأشرطة التسجيل السمعية (الكاسيت),Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 1,صناعيـــــــة 1,,,,,,"Media Regulatory Office / Ministry of Culture & Youth, Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-08123,Non-Freezone,7010006,(Corporate Services Provider (CSP,موفر خدمات الشركات,Active,,Professional,مهنيــــــــــة,-,Low,,Standard,,Integrated administrative services activities for offices,أنشطة الخدمات الإدارية المتكاملة للمكاتب,Integrated administrative services activities for offices,أنشطة الخدمات الإدارية المتكاملة للمكاتب,"Includes firms providing assistance in companies registration and establishing their businesses on behalf of its founding members, assists companies in their partnerships with foreign companies, assisting foreign and free zone companies in finding local partners and agents, provision of secretarial and other related services, it excludes provision of any kind of legal services",يشمل المنشآت التي تقوم بالعديد من الخدمات الإدارية الهادفة إلى مساعدة المؤسسات والشركات الأخرى الراغبة في ممارسة الأعمال عبر القيام بالإجراءات المطلوبة للتسجيل والحصول على التراخيص اللازمة من الجهات الرسمية، مساعدة تلك الشركات في الحصول على شراكات مع الشركات الأجنبية، كما يشمل مساعدة المنشآت الاجنبية أو منشآت المناطق الحرة بالدولة على تسهيل اعمالها داخل الدولة من حيث تدبير وكلاء الخدمات لتلك المنشأت الاجنبية، إضافة لخدمات السكرتارية والخدمات الأخرى ذات الصلة، لا يحق لهذه المنشآت تقديم أي نوع من الخدمات المتعلقة بالخدمات القانونية,,"Business Plan, Designated Non-Financial Business or Profession (DNFBP), Standalone Activity"
AM-03738,Non-Freezone,3312001,(Expet cars)Repair and maintenance of aircraft engines,إصلاح وصيانة محركات القطارات,Inactive,,Professional,مهنية,-,,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,
AM-05005,Non-Freezone,4773953,(G.P.S) Retai sale of Global Positioning System,بيع أنظمة تحديد المواقع (جي بي اس ) - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,
AM-02813,Non-Freezone,3510001,(Generation) Electricity Production,إنتاج (توليد) الطاقة الكهربائية,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-05499,Non-Freezone,2823003,(Ingot Manufactur ( ingingot moulds,صُنع قوالب التشكيل ( قوالب السبائك ),Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-08553,Non-Freezone,8690018,(Irovedia)Indian Tradition Medicine,طب هندي تقليدي (الإيروفيديا),Active,,Professional,مهنيــــــــــة,-,Medium,,Standard,,Medical clinics,العيادات الطبية,,,,,Certified_Academic_Degree,Ministry of Health & Prevention
AM-06228,Non-Freezone,8690018,(Irovedia)Indian Tradition Medicine Centre,مركز طب هندي تقليدي (الإيروفيديا),Inactive,,Professional,مهنية,-,,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,Certified_Academic_Degree,Ministry of Health & Prevention
AM-03843,Non-Freezone,8522006,(Nursery)Medical Secondary Education,التعليم الثانوي الطبي (التمريض),Inactive,,Professional,مهنية,-,High,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,,"Ministry of Education, Ministry of Health & Prevention"
AM-08322,Non-Freezone,8522006,(Nursery)Medical Secondary Education,التعليم الثانوي الطبي (التمريض),Active,,Professional,مهنيــــــــــة,-,High,,Standard,,Education services,خدمات التعليم,Education services,خدمات التعليم,,,Certified_Academic_Degree,"Ministry of Education, Ministry of Health & Prevention"
AM-01489,Non-Freezone,4721040,(Sale of non-poultry birds - Retail, بيع الطيور الغير داجنة -بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,For Warehouse & Land: Ministry of Climate Change and Environment
AM-05308,Non-Freezone,5221002,(Train) Railways Management and Operation,ادارة وتشغيل السكك الحديدية ( القطارات ),Inactive,,Professional,مهنية,-,,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,Ministry of Energy and Infrastructure
AM-08410,Non-Freezone,4659314,(UAS trading (wholesale,تجارة الطائرات بدون طيار – بالجملة,Active,,Commercial,تجاريــــــــة,-,Low,,Standard,,Airplanes Trading,تجارة الطائرات,,,,,,Department of Civil Aviation
AM-05307,Non-Freezone,5221001,(without Repair) Towing and Transporting of Broken Down Cars,سحب ونقل السيارات المعطلة ( بدون إصلاح ),Inactive,,Professional,مهنية,-,,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,Ministry of Energy and Infrastructure
AM-08385,Freezone,369930,3D Printing Manufacturing (Additive Manufacturing),صناعة المنتجات بواسطة الطباعة ثلاثية الأبعاد,Active,,Industrial,صناعية,-,Low,,Standard,,Other metal industries,صناعات معدنية اخرى,,,"Includes firms specialized in conducting additive manufacturing or 3D printing through creating designs of objects with AutoCAD software, then the printer creates a three-dimensional object using lasers to fuse powdered materials together layer by layer, the powdered materials involve metal, plastic, rubber, silicon, ceramic, such technology involves different products and parts such as, jewelry, industrial parts, vehicles, dental and medical industry",يشمل المنشآت المتخصصة في الصناعة التجميعية للمنتجات عن طريق الطباعة ثلاثية الأبعاد والتي تتمثل في تصميم نموذج أولي للمنتج ثلاثي الابعاد على برنامج الاوتوكاد ثم تقوم الطابعة بتحويله إلى المجسم المطلوب عبر إضافة طبقات فوق طبقات من مساحيق الخامات المختلفة كالمعادن والبلاستيك والمطاطوالسيليكون والسيراميك، ويشمل ذلك إستخدام هذه التقنية في مختلف الصناعات كالمجوهرات، الأجزاء الصناعية، السيارات، الطائرات، طب الأسنان والصناعات الطبية.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-08386,Non-Freezone,369930,3D Printing Manufacturing (Additive Manufacturing),صناعة المنتجات بواسطة الطباعة ثلاثية الأبعاد,Inactive,,Industrial,صناعية,-,Low,,Standard,,Industrial,صناعية,,,"Includes firms specialized in conducting additive manufacturing or 3D printing through creating designs of objects with AutoCAD software, then the printer creates a three-dimensional object using lasers to fuse powdered materials together layer by layer, the powdered materials involve metal, plastic, rubber, silicon, ceramic, such technology involves different products and parts such as, jewelry, industrial parts, vehicles, dental and medical industry",يشمل المنشآت المتخصصة في الصناعة التجميعية للمنتجات عن طريق الطباعة ثلاثية الأبعاد والتي تتمثل في تصميم نموذج أولي للمنتج ثلاثي الابعاد على برنامج الاوتوكاد ثم تقوم الطابعة بتحويله إلى المجسم المطلوب عبر إضافة طبقات فوق طبقات من مساحيق الخامات المختلفة كالمعادن والبلاستيك والمطاطوالسيليكون والسيراميك، ويشمل ذلك إستخدام هذه التقنية في مختلف الصناعات كالمجوهرات، الأجزاء الصناعية، السيارات، الطائرات، طب الأسنان والصناعات الطبية.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-01476,Non-Freezone,8211007,Abattoirs Management,ادارة المقاصب,Inactive,,Professional,مهنية,-,,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,,RAK Municipality- Public Health Department
AM-04164,Non-Freezone,2599114,Abrasive Papers Manufacturing,صناعة ورق الصنفرة والتنعيم,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03668,Freezone,RAKEZ /2017/24,Academic Liaison Office,مكتب اتصال أكاديمي,Active,,Educational,تعليمية  ,-,Low,,Standard,"8,500",Educational Consulting Services,خدمات الإستشارات التعليمية,,,"This is an office established by international academic institutions to represent and boost ties and to facilitate academic exchange with local counterparts; also, educating local students and academic institutions of partners’ universities and their activities and specializations, such office is not allowed to carry out teaching, admission services or commercial activities.",هو المكتب الذي تؤسسه المؤسسات الأكاديمية العالمية بغرض تمثيلها وترقية التعاون والتبادل الأكاديمي بينها وبين الجهات الأكاديمية بالإمارة، كما يشمل تعريف الطلاب والمؤسسات الأكاديمية بالجامعات الممثلة في هذا المكتب وأنشطتها وتخصصاتها، لا يسمح لهذا المكتب ممارسة التدريس، خدمات القبول، أو مزاولة أي أعمال تجارية.,,"Academic Zone, this activity is not allowed for Coworking"
AM-07656,Non-Freezone,2816010,Access Cradles Manufacturing,صناعة حمالات التوصيل لصيانة الأبنية,Active,"150,000",Industrial,صنــــــــاعيـــة,-,Low,,Standard,,Equipment and Machinery industry,صناعة الآلات والأجهزة,Equipment and Machinery industry,صناعة الآلات والأجهزة,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03697,Freezone,291503,Access Cradles Manufacturing,صناعة حمالات التوصيل لصيانة الابنية,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Equipment and engines manufacturing,صناعة المعدات والمحركات,,,"Includes manufacturing suspended access cradles for cleaning and maintaining multi-storey buildings, the process involves cutting and fixing steel and aluminium bars and sections to fabricate the components, including roof mounted davit jibs, gantries, trolley units and monorails, as well as fixing electrical motors and safety equipment.",يشمل صناعة الحمالات المعلقة التي تستخدم لتوصيل عمال الصيانة والتنظيف لصيانة الأدوار العلوية من الابنية العالية، ويشمل هذا النشاط القيام بتقطيع ألواح ومقاطع الحديد والألمنيوم وتجميعها لصناعة الحمالات أو الأقفاص، بالإضافة إلى تصنيع قواعد الحمالات والرافعات التي تعلق عليها والسكك الحديدية التي تتحرك عليها، كما يشمل ذلك تركيب الرافعات والمحركات الكهربائية والحبال المعدنية ومعدات السلامة وما إليها.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-05711,Non-Freezone,2816010,Access Cradles Manufacturing,صناعة حمالات التوصيل لصيانة الأبنية,Inactive,,Industrial,صناعية,-,Low,,Standard,,Industrial 1,صناعيـــــــة 1,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-04607,Non-Freezone,2392001,Accessories and Sanitary Ware Manufacturing,صناعة أطقم وأدوات الحمامات,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03322,Non-Freezone,6511103,Accidents and Civil Responsibility Insurance,التأمين من الحوادث و المسؤولية المدنية,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,Insurance Authority
AM-04233,Non-Freezone,9609017,Accidents Casualties Support Services,خدمات دعم مصابي الحوادث,Inactive,,Professional,مهنية,-,,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,,Ministry of Health & Prevention
AM-03210,Non-Freezone,100741202,Accounting,تنظيم السجلات والدفاتر المحاسبية ومسكها,Inactive,,Professional,مهنية,-,,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,Certified_Academic_Degree,Signed: Designated Non-Financial Business or Profession (DNFBP)
AM-01852,Freezone,7412-02,Accounting & Bookkeeping,تنظيم السجلات والدفاتر المحاسبية ومسكها,Active,,Services,خدمية,ESR,Low,,Standard,,Accounts,الحسابات,,,"Activity Not Allowed for Flexi Units. Includes the offices specialized in setting and designing accounting systems for companies and firms, designing accounting documents, records and books, setting documentary cycles or other accounting processes. These offices offer services against fixed fees, but may not examine or audit accounts.",يشمل المكاتب المختصة بالقيام بوضع وتصميم الأساليب المحاسبية للشركات والمؤسسات وكذلك تصميم نماذج المستندات المحاسبية والسجلات والدفاتر المستخدمة ووضع الدورات المستندية أو غيرها من العمليات المحاسبية بحيث تؤدي هذه المكاتب خدماتها للغير مقابل أجر معين ولايجوز لهذه المكاتب مزاولة عمليات فحص الحسابات وتدقيقها أو مراجعتها.,Certified_Academic_Degree,"Business Plan to be Reviewed and Approved by Sales Director,Designated Non-Financial Business or Profession (DNFBP),Certified Academic Degree,'Mandatory RAKEZ Visa within 6 months of the License Issuance""."
AM-08118,Non-Freezone,6920003,Accounting Records and Books Keeping Organization,تنظيم ومسك السجلات والدفاتر المحاسبية,Active,,Professional,مهنيــــــــــة,-,Low,,Standard,,Accounting Activities,الأنشطة المحاسبية,Accounting Activities,الأنشطة المحاسبية,,,Certified_Academic_Degree,Signed: Designated Non-Financial Business or Profession (DNFBP)
AM-03000,Non-Freezone,6920003,Accounting Records and Books Keeping Organization,تنظيم ومسك السجلات والدفاتر المحاسبية,Inactive,,Professional,مهنية,-,Low,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,Signed: Designated Non-Financial Business or Profession (DNFBP)
AM-03521,Freezone,809044,Accounting Training,التدريب على المحاسبة,Active,,Educational,تعليمية  ,-,Low,,Standard,"10,000",Training Institute,معهد تدريب,,,"Includes providing training on maintaining, auditing and recording financial transactions, including, accounting auditing, bookkeeping, tax accounting.",يشمل التدريب على عمليات تصحيح ومراجعة الحسابات وتسجيل المعاملات المالية، ويشمل ذلك مراجعة الحسابات، مسك الدفاتر، المحاسبة الضريبية .,,Academic Zone
AM-03136,Non-Freezone,6920001,Accounts Auditing,تدقيق ومراجعة الحسابات,Active,,Professional,مهنية,-,Low,,Standard,,Accounting Activities,الأنشطة المحاسبية,Accounting Activities,الأنشطة المحاسبية,,,Certified_Academic_Degree,"Ministry of Economy,Signed: Designated Non-Financial Business or Profession (DNFBP)"
AM-05702,Non-Freezone,2720005,Acid Lead or Nickel Accumulators Manufacturing,صناعة المركمات الحمضية من الرصاص والنيكل وما يماثلها,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 1,صناعيـــــــة 1,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-01853,Freezone,5149-08,Acids & Alkalines Trading,تجارة الأحماض والقلويات,Active,,Commercial,تجارية,-,Medium,,Standard,,Chemicals trading,تجارة الكيماويات,,,Includes reselling acids and alkalines for producing other industrial products and compounds.,هي إعادة بيع الأحماض والقلويات المستخدمة في الأغراض الصناعية لإستخدامها في إنتاج منتجات أو مركبات صناعية أخرى.,,"For Warehouse & Land: Department of Civil Defense, General Resources Authority-CCTV"
AM-03854,Non-Freezone,8542003,Acting and Related Arts Training,التدريب علي الفنون الادائية,Inactive,,Professional,مهنية,-,,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,Certified_Academic_Degree,National Qualification Authority
AM-07202,Non-Freezone,2029026,"Activated Carbon, Auxiliary Agents and Anti Corrosions Chemicals Manufacturing",صناعة الكربون المنشط والعوامل المساعدة والمواد الواقية الكيماوية,Active,"150,000",Industrial,صنــــــــاعيـــة,-,High,,Standard,,Chemical industry,صناعة الكيماويات,Chemical industry,صناعة الكيماويات,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-06893,Freelance Permit,1523051,ACTOR,ممثل,Active,,Freelance Permit,تصريح حر,-,Low,,,,Media,اعلام,,,,,,
AM-06047,Non-Freezone,8720003,Addiction Treatment Center,مركز علاج الأدمان,Inactive,,Professional,مهنية,-,,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,,Ministry of Health & Prevention
AM-03698,Freezone,242209,Adhesive & Paper Slitting,تقطيع مواد اللصق والورق,Active,"150,000",Industrial,صناعية,-,Medium,,Standard,,Manufacturing of chemicals,صناعة الكيماويات,,,Includes using slitting machines to cut large rolls of adhesives and papers into narrower rolls.,يشمل عمليات تقطيع لفائف مواد اللصق والورق الكبيرة إلى لفائف أقل حجما.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-04415,Non-Freezone,1709013,Adhesive Cards Manufacturing,صناعة البطاقات الورقية اللاصقة,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 1,صناعيـــــــة 1,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-01548,Non-Freezone,2029007,Adhesive Materials Manufacturing,صناعة مواد اللصق,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 1,صناعيـــــــة 1,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03265,Non-Freezone,2220031,Adhesive Plastic Bands Manufacturing,صناعة الأشرطة اللاصقة البلاسـتيكية,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03155,Non-Freezone,100242205,Adhesives Manufacturing,صناعة مواد اللصق,Inactive,,Industrial,صناعية,-,Medium,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03699,Freezone,242205,Adhesives Manufacturing,صناعة مواد اللصق,Active,"150,000",Industrial,صناعية,-,Medium,,Standard,,Manufacturing of chemicals,صناعة الكيماويات,,,"Includes manufacturing adhesive materials for sticking paper, glass, metal, plastic or wood pieces, to use in printing, lamination, packaging, in construction for fixing ceramic, slabs and maquette, or wall-paper...etc, also producing adhesive tapes in paper, plastic, fabrics or others.",يشمل صناعة المواد المستخدمة في لصق الاوراق أو الأجزاء الزجاجية أو المعدنية أو البلاستيكية أو الخشبية أو لأغراض الطباعة والتجليد أو في إغلاق وتغليف الصناديق والعلب الكرتونية والورقية أو في أغراض البناء لتثبيت السيراميك والبلاط أو تثبيت السجاد (الموكيت) أو في لصق ورق الحائط أو غير ذلك، كما يشمل إنتاج الشرائط اللاصقة من الورق أو البلاستيك أو القماش أو غيرها.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-01866,Freezone,514917,Adhesives Trading,تجارة المواد اللاصقة,Active,,Commercial,تجارية,-,Medium,,Standard,,Chemicals trading,تجارة الكيماويات,,,"Includes reselling of glass, metal, plastic, wood fixing adhesive, packs, boxes, carton boxes closing tapes, paper, tiles, flooring and cladding adhesives and tapes, and any other material not classified under glue and gum.",هي إعادة بيع المواد المستخدمة في لصق الأجزاء الزجاجية أو المعدنية أو البلاستيكية أو الخشبية أو المستخدمة في إغلاق العبوات والصناديق الورقية والكرتونية، ولصق الورق والبلاط والأرضيات وكذلك مواد التكسية كالمعاجين والشرائط وغيرها من المواد اللاصقة ولوازمها التي لا تندرج تحت نشاط تجارة الصمغ والغراء.,,
AM-02578,Non-Freezone,100514917,Adhesives Trading,تجارة المواد اللاصقة,Inactive,,Commercial,تجارية,-,Medium,,Standard,,Commercial 4,تجاريــــــــة 4,,,,,,
AM-06907,Freelance Permit,2423015,ADMINISTRAIVE SKILLS TRAINER,مدرب مهارات إدارية,Inactive,,Freelance Permit,تصريح حر,-,,,,,Education,تعليمية  ,,,,,,Academic Zone
AM-03648,Non-Freezone,8549013,Administrative Business Training,التدريب على الاعمال والنظم الادارية,Inactive,,Professional,مهنية,-,,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,Certified_Academic_Degree,National Qualification Authority
AM-08127,Non-Freezone,7020003,Administrative Consultancy and Studies,استشارات ودراسات ادارية,Active,,Professional,مهنيــــــــــة,-,Low,,Standard,,Consultation and project management,الإستشارت و إدارة المشاريع,Consultations and studies,الإستشارات و الدراسات في العلوم,"Includes providing administrative consultancies and studies to organizations to help them improve their performance, through the analysis of existing organizational problems and the development of plans for improvement., it involves procedural engineering, laying out flow-charts and related documents circulation, internal policy formulation, organizational restructuring, strategic plans development, innovating work procedures, designing balanced scorecards, such firms are not allowed to conduct field surveys In addition to other related studies and consultations","""يشمل تقديم الاستشارات والدراسات الإدارية للمؤسسات العامة أو للشركات كالدراسات والاستشارات التي تتناول تحليل العمليات التشغيلية والإدارية ودراسة هندسة الإجراءات وإعداد خرائط التدفقات والدورات المستندية المرتبطة بها, وصياغة السياسات الداخلية وإعادة هيكلة المنظمة, ووضع الدراسات المرتبطة بتطوير الخطط الإستراتيجية, وتطوير أنظمة العمل وتصميم بطاقات العمل المتوازنة بالإضافة إلى غيرها من الدراسات والإستشارات ذات العلاقة """,,
AM-02206,Non-Freezone,7020003,Administrative Consultancy and Studies,استشارات ودراسات ادارية,Inactive,,Professional,مهنية,-,Low,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,
AM-08810,Freezone,70200-03,Administrative Consultancy and Studies,استشارات ودراسات ادارية,Active,,Services,خدمية,-,Low,,Special,"6,500","Consultancy -D- management, information and marketing",الاستشارات - الادارة والمعلومات,,,"Includes providing administrative consultancies and studies to public departments and companies as regarding administrative performance analysis, procedural engineering, laying out flow-charts and related documents circulation, internal policy formulation, organizational restructuring, strategic plans development, innovating work procedures, designing balanced scorecards, such firms are not allowed to conduct field surveys and questionnaire before getting approval from the competent authority.","يشمل تقديم الاستشارات والدراسات الإدارية للمؤسسات العامة أو للشركات كالدراسات والاستشارات التي تتناول تحليل العمليات التشغيلية والإدارية ودراسة هندسة الإجراءات وإعداد خرائط التدفقات والدورات المستندية المرتبطة بها, وصياغة السياسات الداخلية وإعادة هيكلة المنظمة, ووضع الدراسات المرتبطة بتطوير الخطط الإستراتيجية, وتطوير أنظمة العمل وتصميم بطاقات العمل المتوازنة بالإضافة إلى غيرها من الدراسات والإستشارات ذات العلاقة، لا يسمح لهذه المنشآت إجراء المسوحات الميدانية إلا بعد موافقة الجهات المختصة.",Certified_Academic_Degree,"1. Standalone License with ""Administrative Consultancy and Studies” activity. If any additional activities are required, Client should have additional license subject to satisfying the relevant requirements. 2. Special Activity Fee AED 6,500/- to be charged for New Registration and Amendment Activity (Existing Clients) Cases 3. Company's manager should be UAE-resident OR should have visa under RAKEZ within six (6) months from the date of registration if he he/she has no UAE visa. 4. Company's Manager should have the minimal qualifications required such as bachelor degree in Business Administration or Economics or a related discipline and three years experience. 5. Undertaking not to act as a Corporate Service Provider (CSP) for the below services: • Acting as a formation agent of legal persons • Acting as (or arranging for another person to act as) a director or secretary of a company, a partner of a partnership, or a similar position in relation to other legal persons. • Providing a registered office; business address or accommodation, correspondence or administrative address for a company, a partnership or any other legal person or arrangement. • Acting as (or arranging for another person to act as) a trustee of an express trust. • Acting as (or arranging for another person to act as) a nominee shareholder for another person."
AM-04144,Non-Freezone,8550002,Administrative Training Services,خدمات دعم التدريب الاداري,Inactive,,Professional,مهنية,-,,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,Certified_Academic_Degree,National Qualification Authority
